,Published At,Country,VideoCount
0,1,NL,3
1,2,NL,4
2,4,NL,3
3,5,NL,4
4,6,NL,7
5,7,NL,3
6,8,NL,3
7,9,NL,3
8,10,NL,7
9,11,NL,6
10,12,NL,7
