,Published At,Country,VideoCount
0,1,LV,3
1,2,LV,3
2,4,LV,3
3,5,LV,5
4,6,LV,6
5,7,LV,3
6,8,LV,3
7,9,LV,3
8,10,LV,6
9,11,LV,6
10,12,LV,9
