,Published At,Country,VideoCount
0,1,IQ,3
1,2,IQ,4
2,4,IQ,3
3,5,IQ,4
4,6,IQ,7
5,7,IQ,3
6,8,IQ,3
7,9,IQ,3
8,10,IQ,7
9,11,IQ,7
10,12,IQ,6
