,Published At,Country,VideoCount
0,1,BR,363
1,2,BR,283
2,3,BR,250
3,4,BR,203
4,5,BR,285
5,6,BR,316
6,7,BR,58
7,8,BR,163
8,9,BR,643
9,10,BR,661
10,11,BR,596
11,12,BR,729
