,Published At,Country,VideoCount
0,1,CL,3
1,2,CL,3
2,3,CL,47
3,4,CL,3
4,5,CL,5
5,6,CL,6
6,7,CL,3
7,8,CL,3
8,9,CL,3
9,10,CL,6
10,11,CL,6
11,12,CL,244
